id,title,score,scored_by,rank,popularity,members,favorites,genres
17511,Chao Ji Fei Zao,,,20586,23746,162,0,
17512,Ookina Furudokei,,,,22866,194,0,
17513,DiSCOVER THE FUTURE,6.31,436,,14835,1026,2,
17514,Ookina Furudokei (1973),5.29,127,,21869,245,0,
17515,Ookina Furudokei (2002),,,,23575,168,0,
17516,Yi Ye Fu Weng,,,16921,25437,121,0,
17517,Xiao Cai Feng,,,16391,26390,106,0,
17518,Xiao Tu Tao Tao De Gushi: Bu Pa Leng De Da Yi,,,16496,24661,137,0,
17519,Kaguya-sama wa Kokurasetai: Ultra Romantic,8.96,611438,16,165,1073291,32786,"Comedy, Romance"
17520,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen OVA,7.58,139523,1738,1069,254640,583,"Comedy, Romance, Ecchi"
17521,Qi Ren You Tian,,,19702,26499,104,0,
17522,Xin Hulu Xiongdi,,,16631,23042,187,0,
17523,Hulu Xiongdi (Movie),,,22181,23358,175,0,
17524,Lata Dawang Qiyu Ji,,,18247,25260,124,0,
17525,Lata Dawang Qiyu Ji (Movie),,,18248,24537,140,0,
17526,Qiao Zai Qi Zhong,,,19732,26393,106,0,
17527,Mayi He Da Xiang,,,18558,25817,114,0,
17528,You Qiu Bi Ying,,,16992,25890,113,0,
17529,Xue Shizi,,,16827,25976,112,0,
17530,Feixiang De Gezi,,,21356,25113,127,0,
17531,Koushin,6.01,123,,21725,252,0,Sci-Fi
17532,Mama Qing Xiuxi,,,18472,25902,113,0,
17533,Laohu Zhuang Ya,,,18232,26270,107,0,
17534,Xuanmei Ji,,,16823,26093,110,0,
17535,Yue Dayue Xiang,,,17047,25438,121,0,
17536,Jue Shi Wu Hun,6.83,768,5391,10481,3474,17,"Action, Fantasy"
17537,Houkiboshi (2012),5.53,133,,21145,284,0,Sci-Fi
17538,Kazaguruma (1996),5.47,117,,22065,233,0,
17539,Tokyo Babylon 2021,,,,7032,10236,12,"Boys Love, Drama, Supernatural"
17540,Houzi Dian Bianpao,,,22095,25491,120,0,
17541,Xiang Hu,,,16359,26875,98,0,
17542,Ying,,,16933,25348,123,1,
17543,Poshui Jie De Chuanshuo,,,19627,26700,101,0,
17544,Yu,,,17021,23713,163,0,
17545,Qiangzhe Shanggou,,,19726,24197,149,0,
17546,Zhui Shu,,,17284,24133,151,0,
17547,Douji,,,21188,23885,158,0,
17548,Pi Pi De Gushi,,,19508,25831,114,0,
17549,Lan Gu,,,18203,26377,106,0,
17550,Bupiao,,,20466,23995,154,0,
17551,Xiao E Yu Hong Fangzi,,,16405,26257,108,0,
17552,Gudu De Xiao Zhu,,,21694,26163,109,0,
17553,Du Mu Qiao,,,21217,25250,124,0,
17554,Zhengzhi,,,17170,24456,142,0,
17555,Jinbi Guo Youji,,,17507,26568,103,0,
17556,Anning,,,19971,22745,200,0,Avant Garde
17557,Baxian Yu Tiaozao,,,20268,24547,140,0,
17558,Gao Nuren He Ai Zhangfu,,,21531,25317,123,0,Comedy
17559,Yiban Er Wangguo,,,16927,26887,98,0,
17560,Lanhua Hua,,,18214,26733,100,0,
17561,Aaron He Lili,,,19861,23648,165,0,
17562,Xiao Xiao Huajia,,,16506,25432,121,0,
17563,Hong Qiqiu,,,22053,25488,120,0,
17564,Ben Gouxiong,,,20293,25087,128,0,
17565,Senlin Li De Jin Yueliang,,,14842,26244,108,0,
17566,Qiyi De Menggu Ma,,,19792,26585,103,0,
17567,Shuke He Beita,,,15236,25297,123,0,
17568,"Senlin, Xiaoniao He Wo",,,14846,24712,136,0,
17569,Gudu De Lily,,,21693,26700,101,0,
17570,Ai Ni,,,19882,23297,177,0,
17571,Zhong Shu,,,17202,25277,124,0,
17572,Qi Niu Nan Xia,,,19682,25302,123,0,
17573,Dongtian Li De Xiaotian Shu,,,21112,26154,109,0,
17574,Yīban Er,,,16891,25889,113,0,
17575,Xiao Dingzi,,,16403,25717,116,0,
17576,Lu He Niu,,,18370,24738,135,0,
17577,Mofang Dasha,,,18853,26410,105,0,
17578,Tebie Chedui,,,15647,26549,103,0,
17579,Yinshen Tan Zhang,,,16944,26778,100,0,
17580,Hong Bizi,,,22019,26622,102,0,
17581,Shi Er Shengxiao,,,15013,26005,111,0,
17582,Zigu Yingxiong Chu Shaonian,,,17291,26482,104,0,
17583,Kuai Yue Jia Jia Che,,,18072,27212,94,0,
17584,Xingxing Tan Zhang,,,16730,26884,98,0,
17585,Xiao Jingling Hui Dou,,,16436,26978,97,0,
17586,Dahong Ying,,,20910,26509,104,0,
17587,Koneko no Byouki,5.54,145,,20891,297,0,
17588,Boku no Hero Academia the Movie 2: Heroes:Rising - Epilogue Plus - Yume wo Genjitsu ni,7.44,21577,2267,3403,52591,102,Comedy
17589,Semi wa Magic Cube,,,14829,13072,1629,3,"Action, Comedy, Fantasy"
17590,Kumo,5.53,112,,22163,229,0,
17591,Boku no Nikkichou,5.55,127,,21823,248,0,
17592,Tenkuu Shinpan,6.68,196740,6208,713,371486,2069,"Action, Horror, Mystery, Suspense"
17593,Kageki Shoujo!!,7.71,28966,1324,2467,91743,521,Drama
17594,Gokushufudou,7.26,262501,3138,544,466131,2883,Comedy
17595,Thermae Romae Novae,7.17,14268,3685,4595,29129,113,Comedy
17596,Rilakkuma to Yuuenchi,6.85,1474,5250,10215,3800,7,Slice of Life
17597,Bad Mood,,,20100,23061,185,0,Comedy
17598,Yasuke,5.75,49043,11624,2496,90040,252,"Action, Fantasy"
17599,Doraon Yeongung Hong Gildong,,,21139,22564,208,0,"Action, Adventure"
17600,Hong Gildong Janggun,,,22021,21154,283,1,"Action, Adventure"
17601,Tomato Confit,5.88,177,10964,20103,344,1,"Comedy, Drama"
17602,Juunenbun no Watashi e,6.34,814,8285,12750,1798,2,Drama
17603,Tell the Story to You,6.19,182,9205,18353,471,1,
17604,Ai wo Komete,5.55,350,12463,16362,692,0,Slice of Life
17605,"Eiyuuou, Bu wo Kiwameru Tame Tenseisu: Soshite, Sekai Saikyou no Minarai Kishi♀ Mini Anime",5.66,662,12055,11849,2367,6,"Action, Fantasy"
17606,Semi wa Magic Cube 2nd Season,,,14832,13342,1502,4,"Action, Fantasy"
17607,Cue!,6.77,8060,5686,4683,27988,153,
17608,Idol Shineitai,6.55,257,,18444,464,0,
17609,Getter Robo Arc,6.19,2491,9192,8236,6864,27,Sci-Fi
17610,Attack Zero x Evangelion,5.35,2022,,9499,4737,3,Slice of Life
17611,Hamigaki Ondo,5.62,106,,22333,220,0,
17612,"Ayanami Rei, Hajimete no Kuchibeni",5.82,2477,,9131,5289,7,Slice of Life
17613,Misaki no Mayoiga,6.86,2838,5228,6027,14736,27,"Award Winning, Drama, Fantasy"
17614,Bakuten!!,7.48,41811,2131,2148,113541,925,Sports
17615,Hikari no Ou,6.32,13991,8460,3521,49217,109,"Adventure, Drama, Fantasy"
17616,Nemui Inu,,,,22576,208,0,Comedy
17617,Hula Fulla Dance,6.33,944,8349,9224,5168,4,
17618,Cestvs: The Roman Fighter,5.95,8208,10576,5179,21984,85,"Drama, Sports"
17619,Night Head 2041,6.49,10690,7384,3601,47439,312,"Drama, Mystery, Sci-Fi, Suspense"
17620,Gifts,,,,22295,222,0,
17621,OTMGirls no Yokiyoki Channel,5.59,392,12320,14681,1069,0,Comedy
17622,Vazzrock The Animation,5.45,1290,12791,7943,7500,29,
17623,Hua Jianghu: Xia Lan,,,22112,16751,634,3,"Action, Adventure, Drama, Fantasy"
17624,Sherlock Holmes to Watson Hakase,5.1,143,,20740,305,0,Mystery
17625,Penguin Minna Kyoudai 2020,5.8,157,,20829,301,0,
17626,Motto! Majime ni Fumajime Kaiketsu Zorori 2nd Season,,,18919,16077,737,3,"Adventure, Comedy"
17627,Eoneu Nal Jameseo Kkaeeoboni Bagelyeoga Doeeo Isseotda,6.26,4064,8801,6044,14617,64,"Comedy, Romance, Ecchi"
17628,Sumikko Gurashi Movie 2: Aoi Tsukiyo no Mahou no Ko,6.7,213,6094,14630,1079,2,Comedy
17629,Ohirune no Yurikago,,,,22464,214,0,
17630,Toromitsu Musume no Hitou Service: Torottoro Churu Churu Gohoushi Sasete Kudasai,6.68,2318,,9090,5358,34,Hentai
17631,Knight of Erin,6.64,3663,,7619,8343,44,"Fantasy, Hentai"
17632,Bihua Li De Gushi,,,20328,23609,166,0,
17633,Diao Longji,,,21025,24431,142,0,
17634,Shihang,,,15060,26269,107,0,
17635,Shan Ya Zi,,,14867,25879,113,0,
17636,Liang Zhi Xiao Kongque,,,18292,25543,119,0,
17637,Kongque De Yanhuo,,,18027,25631,118,0,
17638,Xiao Dan Ke,,,16401,26668,101,0,
17639,Bang Jin Mei Duo,,,20192,25227,125,0,
17640,Da Daozei,,,20857,26185,109,0,
17641,Xiyou Ji: Wu Jian Baobei,,,16809,25701,117,0,
17642,Wo Cuole,,,16169,25523,119,0,
17643,Yisheng Yu Huangdi,,,16950,24900,131,1,
17644,San,,,14723,24515,140,0,Comedy
17645,Jing Hua Yuan,,,17508,25708,116,0,
17646,Kuaile De Mai Mai Ti,,,18086,25734,116,0,
17647,Meijian Chi,,,18596,26187,109,0,
17648,Deatte 5-byou de Battle,6.75,110729,5806,1175,234054,958,"Action, Suspense"
17649,Yeban Guai Sheng,,,16894,26180,109,0,
17650,Zhi Dou Wuya,,,17172,25703,117,0,
17651,Zi Zuo Zi Shou,,,17290,24983,130,0,
17652,"Zuiba, Erduo He Yanjing",,,17304,25533,119,0,
17653,Dong Dong He Gua Gua,,,21094,25941,112,0,
17654,Lianhua Gongzhu,,,18294,25986,112,0,
17655,Xiao Huangyou De Gushi,,,16425,26282,107,0,
17656,Da Qiqiu,,,20882,26206,108,0,Fantasy
17657,Chuntian Li De Xiaotian Shu,,,20778,25768,115,0,
17658,Jingquan Jiuhu Dui,,,17533,26197,108,0,
17659,Kaixin Guo,,,17724,26101,110,0,
17660,Xiao Heshang: You Fang Seng,,,16415,26642,102,0,
17661,Lu Nu,,,18371,25815,114,0,
17662,Hu Seng,,,22102,26334,107,0,
17663,Jiao Jiao Yu Jing Jing,,,17454,27006,96,1,Sci-Fi
17664,Da Senlin Li De Xiao Gushi,,,20884,26008,111,0,Fantasy
17665,Xiyou Man Ji,,,16810,27442,91,0,
17666,Baixue Gongzhu Yu Gingwa Wangzi,,,20157,26177,109,0,Fantasy
17667,Boshi Wa Dou Bianselong,,,20410,25164,126,0,Fantasy
17668,Riyuetan,,,14561,26652,101,0,Fantasy
17669,Shenma Yu Yaodao,,,14985,26662,101,0,Fantasy
17670,Die Shuangfei,,,21036,24270,147,0,Slice of Life
17671,Huan You Diqiu Bashi Tian,,,22122,26625,102,0,Adventure
17672,Matouqin De Gushi,,,18547,26187,109,0,Fantasy
17673,He De Chuanshuo,,,21873,26848,99,0,Fantasy
17674,Renshen Wangguo,,,14527,26649,101,0,Fantasy
17675,Shen Di,,,14945,26660,101,0,Fantasy
17676,Yao Shu Yu Songshu,,,16875,26478,104,0,Fantasy
17677,Hong Shi Feng,,,22055,26748,100,0,Fantasy
17678,Huoba Jie,,,22201,27061,96,0,
17679,Kuerlei Xiang Li,,,18132,26811,99,0,Fantasy
17680,Poshui Jie,,,19626,26800,100,0,
17681,Mie Yao Ji,,,18719,26492,104,0,Fantasy
17682,Xue Hu,,,16826,25185,126,0,Drama
17683,12 Shengxiao Quanjiafu de Shenqi Shijie,,,19829,21833,247,0,
17684,"Ouch, Mama!",,,19405,27126,95,0,Comedy
17685,Guai Cheng,,,21667,27674,89,0,Adventure
17686,Zhongdian Fuzi,,,17203,26891,98,0,
17687,Xiao Caomao,,,16393,28141,84,0,
17688,12 Shengxiao Guanjiafu: Wangluo Shijie Lixian,,,19828,22906,192,0,Adventure
17689,Fengchen Xiao Youxia,,,21373,27169,94,0,Adventure
17690,Hong Haier Chuanqi,,,22024,27380,92,0,"Adventure, Fantasy"
17691,Jia You Kaixin Guo,,,17427,26636,102,0,Comedy
17692,Bravo Dong Dong,,,20414,26606,102,0,Comedy
17693,Caibao Xiao Huli,,,20510,26342,106,0,Adventure
17694,Feilong Tian Jiang,,,21350,27167,94,0,Fantasy
17695,Shui De Zhangfu Li De Zui Yuan,,,15198,25353,122,0,Comedy
17696,Huixiang,,,22173,25647,118,0,Romance
17697,Baiyu Tang,,,20160,26030,111,0,"Action, Drama"
17698,Mogui Xinpian,,,18858,27018,96,0,"Adventure, Fantasy, Sci-Fi"
17699,Tu Hongse De Luotuo,,,15913,27323,92,0,Adventure
17700,Bai Ge Dao,,,20130,25393,122,0,"Adventure, Sci-Fi"
17701,Da Yingxiong Di Qing,,,20897,26908,98,0,Adventure
17702,Miko no Tsutome!,6.07,920,9922,11610,2527,11,Comedy
17703,Curry Meshi in Miracle,6.35,709,,14040,1257,0,
17704,Da Erduo Tutu,,,20859,25655,117,0,Comedy
17705,Da Erduo Tutu 2nd Season,,,20860,26694,101,0,Comedy
17706,Da Erduo Tutu 3rd Season,,,20861,26785,100,0,Comedy
17707,Da Erduo Tutu 4th Season,,,20862,26814,99,0,Comedy
17708,Da Erduo Tutu 5th Season,,,20863,27109,95,0,Comedy
17709,Da Erduo Tutu: Tutu Zhihui Wangguo,,,20863,27161,94,0,Comedy
17710,26 Ge Mimi,,,19839,22650,204,0,"Adventure, Mystery"
17711,Tiancai Faming Jia,,,15726,27085,95,0,"Adventure, Comedy"
17712,Zhonghua Meide,,,17220,27224,94,0,"Adventure, Fantasy"
17713,Shuai Gou Hei Pi,,,15187,27309,92,0,"Adventure, Sci-Fi"
17714,Shen Gong Chuanqi,,,14949,27275,93,0,Fantasy
17715,Ma Lan Hua,,,18398,24379,144,0,Fantasy
17716,Ma Lan Hua (2009),,,18399,24836,133,0,Fantasy
17717,Xiao Zhuoma,,,16553,26877,98,0,Fantasy
17718,Jingling Nuhai Xiao Zhuoma,,,17531,24534,140,0,Fantasy
17719,Xi Bai Po,,,16293,25201,125,0,
17720,Shaonian Yue Fei Chuanqi,,,14929,25040,129,0,"Adventure, Fantasy"
17721,Xi Bai Po 2: Yingxiong Wang Er Xiao,,,16294,25436,119,0,
17722,Niu Yuan,,,19183,26388,106,0,"Drama, Fantasy"
17723,Fang Lian Yeye He Yuan Lian Nainai,,,21325,26843,99,0,Drama
17724,Huihe,,,22172,27050,96,0,
17725,Qiao Xia Shi Lu,,,19731,26315,107,0,
17726,Huli Fen Bing,,,22176,25171,126,0,Fantasy
17727,Shei Pa Shei,,,14936,24476,141,0,Suspense
17728,Mo Feng,,,18816,24900,132,0,Supernatural
17729,Mao Yu Shu,,,18516,24408,143,1,
17730,12 Zhi Wenzi He 5 Geren,,,19831,22208,226,0,
17731,Shei Shi Guanjun,,,14938,26245,108,0,
17732,Guai Laotou Er,,,21674,26621,102,0,
17733,Cixi Zuo Huoche,,,20791,26182,109,0,
17734,Kaidian,,,17677,27205,94,0,
17735,Viola wa Utau,,,,22967,190,0,
17736,San Zhi Xiao Huli Zhai Putao,,,14744,26070,110,0,
17737,Obenkyou Shitoite yo,7.33,977,,12949,1689,11,
17738,Datou Er Zi He Xiao Tou Baba,,,20974,24425,143,0,Slice of Life
17739,Xin Datou Er Zi He Xiao Tou Baba,,,16607,24980,130,0,Slice of Life
17740,Xin Datou Er Zi He Xiao Tou Baba 2nd Season,,,16610,26054,111,0,Slice of Life
17741,Xin Datou Er Zi He Xiao Tou Baba 3rd Season,,,16611,25719,116,0,Slice of Life
17742,Xin Datou Er Zi He Xiao Tou Baba 4th Season,,,16613,26260,108,0,Slice of Life
17743,Xin Datou Er Zi He Xiao Tou Baba 5th Season,,,16615,26285,107,0,Slice of Life
17744,Xin Datou Er Zi He Xiao Tou Baba 6th Season,,,16617,26287,107,0,Slice of Life
17745,Xin Datou Er Zi He Xiao Tou Baba 3: Eluosi Qiyu Ji,,,16610,25507,120,0,"Adventure, Comedy"
17746,Xin Datou Er Zi He Xiao Tou Baba 2: Yi Ri Chengcai,,,16608,25346,123,0,"Adventure, Comedy"
17747,Xin Datou Er Zi He Xiao Tou Baba: Mimi Jihua,,,16625,25073,128,0,"Adventure, Comedy"
17748,Xin Datou Er Zi He Xiao Tou Baba: Fu Shu Song Ji,,,16623,24777,134,0,Slice of Life
17749,Xin Datou Er Zi He Xiao Tou Baba: Ma Nian Xin Yuan,,,16623,25269,124,0,Slice of Life
17750,Xin Datou Er Zi He Xiao Tou Baba: Chuxi - Baiye Cheng,,,16621,25434,121,0,Slice of Life
17751,Xin Datou Er Zi He Xiao Tou Baba: Nian De Weidao,,,16627,25346,123,0,Slice of Life
17752,Xin Datou Er Zi He Xiao Tou Baba: Chao Neng Baba,,,16618,25741,116,0,
17753,Xin Datou Er Zi He Xiao Tou Baba: Caoyuan Qiyu,,,16619,25200,125,0,Adventure
17754,Xin Datou Er Zi He Xiao Tou Baba: Menghuan Leyuan Qiyu Ji,,,16623,25551,119,0,
17755,Xin Datou Er Zi He Xiao Tou Baba: Chuanqi Doudou,,,16621,25623,118,0,
17756,Qi Qi Piao Youji,,,19684,26876,98,0,
17757,Xiao Zhu Heng Heng,,,16551,26981,97,0,
17758,Kaixin Jie,,,17726,27183,94,0,Adventure
17759,Xiongmao Jing Jing,,,16794,26789,100,0,
17760,Cong Ming De Ben Xiao Zhu,,,20822,26346,106,0,
17761,Fanqie Jiang,,,21328,27166,94,0,
17762,Hahajing Hua Yuan,,,21773,26965,97,0,"Comedy, Fantasy"
17763,Taiyang Zhizi,,,15566,26871,98,0,"Adventure, Fantasy, Sci-Fi"
17764,Gulu Xiansheng,,,21710,26431,105,0,Comedy
17765,Zhishi Laoren,,,17199,27333,92,0,
17766,Xiao Shenxian He Xiao Xiannu,,,16473,27736,88,0,
17767,Zhonghua Chuanshuo Meide Gushi,,,17215,27615,89,0,
17768,Xiao Hutu Shen,,,16428,27876,87,0,
17769,Shen Nao Cong Zi,,,14953,27853,87,0,
17770,Wan Wan Qian Qian Weisheme,,,16088,26873,98,0,
17771,Xuewen Mao Jiao Hanzi,,,16832,27199,94,0,
17772,Haier Xiongdi,,,21783,26235,108,0,Adventure
17773,Haier Xiongdi Yuzhou Da Maoxian,,,21784,27528,90,0,Adventure
17774,Xin Sanzijing,,,16652,28268,83,0,
17775,Xiao Bei Liulang Ji,,,16389,26857,99,0,
17776,Yinyue Chuan,,,16946,27510,90,0,
17777,Yueliang Jie,,,17049,27615,89,0,
17778,De Du Xiao Heshang,,,20986,28310,83,0,
17779,Konglong Xuexiao,,,18023,27341,92,0,
17780,San Shi Liu Ji Qiyu Ji,,,14733,27302,92,0,
17781,Maomi Xiao Bei,,,18524,26688,101,0,
17782,Kanojo mo Kanojo,6.51,202237,7259,627,415015,2534,"Comedy, Romance"
17783,Xiao Bing Zhang Ga,,,16390,27926,86,0,
17784,Sai Er Hao: Xunzhao Fenghuang Shenshou,,,14686,23725,162,0,
17785,Qi Jiguang Yingxiong Chuan,,,19681,25458,121,0,
17786,Kaixin Chaoren,,,17708,24475,141,0,Sci-Fi
17787,Kaixin Chaoren 2: Qi Yuan Xing Zhi Zhan,,,17709,25651,117,0,
17788,Xi Yangyang Yu Hui Tailang: Yangyang Yundonghui,,,16336,21434,268,0,"Comedy, Sports"
17789,Xi Yangyang Yu Hui Tailang: Yangyang Kuaile De Yi Nian,,,16330,21840,245,0,"Adventure, Comedy"
17790,Xi Yangyang Yu Hui Tai Lang: Qi Si Miao Xiang Xi Yangyang,,,16304,22415,216,0,"Adventure, Comedy"
17791,Xi Yangyang Yu Hui Tailang: Gei Kuaile Jiayou,,,16308,22485,213,0,"Adventure, Comedy"
17792,Xi Yangyang Yu Hui Tailang: Jingji Da Lianmeng,,,16309,22927,191,0,"Adventure, Comedy"
17793,Xi Yangyang Yu Hui Tailang: Kaixin Riji,,,16311,22709,201,0,"Adventure, Comedy"
17794,Xi Yangyang Yu Hui Tailang: Kaixin Fangshenshi,,,16311,22734,200,0,"Adventure, Comedy"
17795,Xi Yangyang Yu Hui Tailang: Lan Yangyang Dang Dachu,,,16316,22699,202,0,"Adventure, Comedy"
17796,Xi Yangyang Yu Hui Tailang: Yangyang Xiao Xinyuan,,,16333,22632,205,0,"Adventure, Comedy"
17797,Xi Yangyang Yu Hui Tailang: Yichu Da Maoxian,,,16336,22931,191,0,"Adventure, Comedy"
17798,Xi Yangyang Yu Hui Tailang: Mama Le Fengkuang,,,16318,22922,192,0,"Adventure, Comedy"
17799,Xi Yangyang Yu Hui Tailang: Yuanshi Shijie Lixian Ji,,,16340,23173,182,0,"Adventure, Comedy"
17800,Xi Yangyang Yu Hui Tailang: Xiha Chuang Shijie,,,16326,23039,187,0,"Adventure, Comedy"
17801,Xi Yangyang Yu Hui Tailang: Yangyang Xiao Zhentan,,,16334,23001,188,0,"Adventure, Comedy"
17802,Xi Yangyang Yu Hui Tailang: Shenhai Lixian Ji,,,16325,23037,187,0,"Adventure, Comedy"
17803,Xi Yangyang Yu Hui Tailang: Faming Da Zuozhan,,,16307,23083,185,0,"Adventure, Comedy"
17804,Xi Yangyang Yu Hui Tailang: Qihuan Tiankong Dao,,,16321,22795,196,0,"Adventure, Comedy"
17805,Xi Yangyang Yu Hui Tailang: Yang Cun Shouhuzhe,,,16328,22485,211,0,"Adventure, Comedy"
17806,Xi Yangyang Yu Hui Tailang: Kua Shikong Jiu Bing,,,16312,22843,195,0,"Adventure, Comedy"
17807,Xi Yangyang Yu Hui Tailang: Qiqu Waixing Ke,,,16323,22796,198,0,"Adventure, Comedy"
17808,Xi Yangyang Yu Hui Tailang: Yiguo Da Yingjiu,,,16336,19608,376,0,"Adventure, Comedy"
17809,Xi Yangyang Yu Hui Tailang: Xi yangyang You Shibo,,,16325,22132,230,0,"Adventure, Comedy"
17810,Xi Yangyang Yu Hui Tailang: Man Jing Tou,,,16319,23498,171,0,"Adventure, Comedy"
17811,Xi Yangyang Yu Hui Tailang: Yangyang Deyi Xi Yangyang,,,16329,22313,221,0,"Adventure, Comedy"
17812,Jiaren Jiu Jia Hui Tailang,,,17459,22201,227,0,"Comedy, Romance"
17813,Zhiqu Yang Xuetang: Dong Zhi Wu Pian Pian,,,17194,22428,213,0,"Adventure, Comedy"
17814,Zhiqu Yang Xuetang: Yundong Pian,,,17198,22545,208,0,"Adventure, Comedy"
17815,Zhiqu Yang Xuetang: Diqiu Jianianhua,,,17193,22932,189,0,"Adventure, Comedy"
17816,Zhiqu Yang Xuetang: Yangyang You Shijie,,,17197,22601,204,0,"Adventure, Comedy"
17817,Zhiqu Yang Xuetang: Qihuan Chengyu Shu,,,17195,22996,189,0,"Adventure, Comedy"
17818,Zhiqu Yang Xuetang: Yangyang Lai Yunbao,,,17196,22669,203,0,"Adventure, Comedy"
17819,Xi Yangyang Yu Hui Tailang: Yangyang Qu Maoxian,,,16331,22423,215,0,"Adventure, Comedy"
17820,Songdai Zuqiu Xiaojiang,,,15324,24444,142,0,Sports
17821,Baobei Nuer Hao Mama,,,20228,26221,108,0,Comedy
17822,Baobei Nuer Hao Mama: Kuaile De Jiating,,,20230,26425,105,0,Comedy
17823,Baobei Nuer Hao Mama: Chi Jiyi De Daxue Qiu,,,20229,25230,125,0,Comedy
17824,Xiao Song Dangjia,,,16484,27596,89,0,
17825,Dianji Xiaozi,,,21021,26350,106,0,
17826,Dianji Xiaozi 2nd Season,,,21022,26738,100,0,
17827,Dianji Xiaozi 3rd Season,,,21023,26955,97,0,
17828,Doraemon Movie 41: Nobita no Little Star Wars,7.23,1821,3314,9675,4480,18,"Adventure, Comedy, Sci-Fi"
17829,Zannen na Ikimono Jiten (2019),,,17107,18183,486,1,Comedy
17830,Jushen Zhan Ji Dui: Guidao Xianfeng,,,17633,26799,99,0,"Action, Sci-Fi"
17831,Chao Xian Lie Bing-kai Neng,,,20613,24434,142,2,Sci-Fi
17832,Chao Xian Lie Bing-kai Neng 2nd Season,,,20614,25591,118,0,Adventure
17833,Ling Su Zhengba,,,18316,26300,107,0,"Adventure, Sci-Fi"
17834,"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita",6.92,184067,4876,699,379066,2102,"Fantasy, Romance"
17835,Abciee Shuugyou Nikki,5.41,1616,12924,10563,3410,5,Comedy
17836,SD Gundam World Heroes,5.67,554,12010,12181,2151,3,Sci-Fi
17837,Holo no Graffiti,8.15,18099,486,3197,58457,1873,Comedy
17838,Jimihen!!: Jimiko wo Kaechau Jun Isei Kouyuu!!,6.39,12329,,3857,42198,377,Hentai
17839,Heart,5.64,122,,22089,232,3,Romance
17840,Tian Huang Zhan Shen,6.72,661,5951,11985,2274,13,"Action, Fantasy"
17841,Zetsumetsu Kigu-shun. (2020),,,17122,18971,426,1,
17842,Gundam Build Divers: Battlogue,6.54,1502,7083,10273,3712,5,Sci-Fi
17843,Hua Jianghu: Gui Yexing,,,22109,17189,580,1,Action
17844,Sasaki to Miyano,8.19,103203,432,1205,228962,5547,Boys Love
17845,Tokyo Gambo,5.4,167,13002,9992,4078,4,Slice of Life
17846,Puparia,7.6,30088,1658,3127,61117,343,Avant Garde
17847,Bai She Chuan: Bai Suzhen,,,,14726,1057,1,"Action, Fantasy, Romance"
17848,Xin Shen Bang: Nezha Chongsheng,7.34,3281,2729,8612,6137,17,"Action, Fantasy, Sci-Fi"
17849,Chu Feng: Yi Dian Zhi Zi,6.66,293,6338,12132,2182,3,"Fantasy, Romance, Sci-Fi"
17850,Tamaya CMs,5.95,290,,16003,750,0,Slice of Life
17851,Liehuo Jiao Chou,7.26,2719,3155,7093,9977,75,"Action, Drama, Supernatural"
17852,Dinghai Fusheng Lu,7.24,1010,3249,10219,3797,41,"Action, Fantasy"
17853,Bai Yao Pu 2nd Season,7.55,1612,1839,8955,5589,18,"Adventure, Mystery, Supernatural"
17854,Tianbao Fuyao Lu 2nd Season,7.76,1804,1181,9382,4901,44,"Action, Adventure, Comedy, Fantasy"
17855,Xian Wang de Richang Shenghuo 2,7.38,73563,2535,1488,180714,678,"Adventure, Comedy, Fantasy"
17856,Tian Guan Cifu Special,8.49,30418,157,3171,59246,522,"Action, Adventure, Drama, Fantasy"
17857,Yuan Long 2nd Season,7.02,1178,4471,10938,3064,12,"Action, Adventure, Fantasy"
17858,Ba Ma Laizi Er Ciyuan,6.37,355,8113,12424,2004,5,Comedy
17859,Ni Zhenshi Ge Tiancai,6.22,295,9007,14054,1249,2,"Comedy, Fantasy"
17860,Shiguang Dailiren,8.72,181291,58,550,462060,14417,"Drama, Mystery, Suspense"
17861,Sou Xuan Lu Zhi Chen Ling Ji,5.97,143,10461,15639,823,1,"Action, Fantasy"
17862,Tululu feat. Taku Inoue,6.15,112,,22467,213,0,
17863,Jian Wang 3: Xia Gan Yi Dan Shen Jianxin II,6.47,191,7534,15060,965,1,"Action, Adventure, Comedy"
17864,Jian Wang 3: Xia Gan Yi Dan Shen Jianxin 3rd Season,,,17437,14023,1260,4,"Action, Adventure, Comedy"
17865,B-Project: Netsuretsu*Love Call,6.3,1008,8531,8470,6421,29,
17866,Kangurei,6.78,422,,15853,775,6,
17867,Prayer X,7.03,1604,,11154,2892,9,Avant Garde
17868,Gintama: The Semi-Final,8.46,45847,173,2492,90300,266,"Action, Comedy"
17869,Yoroyoro Tamatama,5.23,115,,22190,228,0,Comedy
17870,Ling Long: Incarnation Final Chapter,7.5,990,2065,12088,2218,10,"Action, Drama, Horror, Sci-Fi, Supernatural, Suspense"
17871,Xian Jian Qi Xia Zhuan: Huan Li Jing,,,16354,16700,642,1,"Action, Fantasy, Romance"
17872,Huyao Xiao Hongniang 9: Mu Tiancheng Pian,6.92,555,4931,11560,2567,1,"Comedy, Drama, Romance, Supernatural"
17873,Into the Blue's,6,148,,20100,345,0,
17874,Shi Wan Ge Leng Xiaohua Fanwai Pian,,,15035,22895,192,0,"Comedy, Fantasy"
